                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.86782,                0.96799,                0.94247,                0.84325,                0.59388,                0.69049,                0.45706,                 1.4942,                 2.0063,                 1.0578,              0.0003046,              0.0003046,              0.0003046
                     63,                0.86054,                0.97192,                0.94522,                0.83546,                0.57244,                0.68893,                 0.4432,                 1.5429,                 2.0641,                 1.0863,             0.00029699,             0.00029699,             0.00029699
                     64,                0.88702,                 1.0176,                0.95847,                0.84954,                0.56325,                0.66739,                 0.4175,                 1.5558,                 2.0354,                  1.108,             0.00028937,             0.00028937,             0.00028937
                     65,                0.86276,                0.90993,                 0.9338,                 0.8314,                0.56638,                0.66765,                 0.4376,                 1.5317,                 1.9993,                  1.098,             0.00028176,             0.00028176,             0.00028176
                     66,                0.89754,                0.95915,                0.96623,                0.80282,                0.58282,                0.66959,                0.43134,                 1.5347,                 1.9803,                  1.076,             0.00027415,             0.00027415,             0.00027415
                     67,                0.90232,                0.94789,                 0.9526,                0.71002,                0.67453,                0.67981,                0.44359,                  1.539,                 1.9797,                 1.0643,             0.00026654,             0.00026654,             0.00026654
                     68,                0.93186,                0.95765,                0.91611,                0.75799,                0.63742,                0.70131,                0.45847,                 1.5297,                 2.0191,                 1.0614,             0.00025892,             0.00025892,             0.00025892
                     69,                0.83729,                0.89614,                0.92987,                0.76358,                0.60678,                0.69601,                0.46014,                 1.5327,                  2.047,                  1.066,             0.00025131,             0.00025131,             0.00025131
                     70,                0.87914,                 0.9134,                0.91858,                0.74736,                0.62985,                0.70911,                0.46625,                 1.5405,                 2.0975,                 1.0826,              0.0002437,              0.0002437,              0.0002437
                     71,                0.80657,                0.83109,                0.92647,                0.74965,                0.63504,                0.69821,                 0.4528,                 1.5204,                 2.0751,                 1.0867,             0.00023608,             0.00023608,             0.00023608
                     72,                0.84574,                0.86749,                0.92934,                   0.77,                0.62525,                0.69957,                0.46459,                 1.5448,                 2.0704,                 1.0985,             0.00022847,             0.00022847,             0.00022847
                     73,                0.88132,                0.95051,                0.93799,                0.77982,                0.62277,                0.69551,                0.45575,                 1.5306,                 2.0639,                 1.1003,             0.00022086,             0.00022086,             0.00022086
                     74,                0.78288,                0.86121,                 0.9143,                0.78163,                0.62946,                0.70329,                0.45564,                  1.494,                 1.9839,                 1.0902,             0.00021324,             0.00021324,             0.00021324
                     75,                0.79061,                0.83896,                0.90793,                0.77436,                0.63241,                0.70596,                0.45987,                 1.4937,                 1.9825,                 1.0915,             0.00020563,             0.00020563,             0.00020563
                     76,                0.82438,                0.89424,                0.91711,                0.90941,                0.54653,                0.71423,                0.47105,                 1.4939,                 1.9645,                 1.0871,             0.00019802,             0.00019802,             0.00019802
                     77,                0.80119,                0.85714,                 0.8976,                 0.9033,                0.55109,                0.72056,                 0.4719,                 1.4964,                 1.9727,                 1.0869,              0.0001904,              0.0001904,              0.0001904
                     78,                0.80243,                0.85648,                0.91739,                0.93873,                0.54793,                0.73183,                0.48426,                 1.4902,                 1.9709,                  1.093,             0.00018279,             0.00018279,             0.00018279
                     79,                0.83406,                0.90841,                0.93357,                0.89817,                0.56237,                 0.7186,                0.46815,                 1.4852,                 1.9916,                 1.0986,             0.00017518,             0.00017518,             0.00017518
                     80,                 0.8126,                0.87991,                0.91762,                0.88718,                0.58208,                0.69377,                0.45816,                 1.4874,                 2.0263,                 1.0958,             0.00016757,             0.00016757,             0.00016757
                     81,                 0.7918,                0.84641,                0.89841,                0.87589,                0.59363,                0.69024,                0.45333,                 1.4977,                 2.0095,                 1.0954,             0.00015995,             0.00015995,             0.00015995
                     82,                0.76347,                0.83617,                 0.9095,                0.86146,                0.60673,                0.68849,                0.45074,                  1.534,                 1.9478,                 1.1033,             0.00015234,             0.00015234,             0.00015234
                     83,                0.84342,                0.86313,                0.91393,                0.85729,                0.60678,                0.68897,                0.45139,                 1.5308,                 1.9316,                 1.1047,             0.00014473,             0.00014473,             0.00014473
                     84,                 0.7622,                0.81667,                0.90712,                 0.8722,                0.60408,                 0.6923,                0.45668,                 1.4926,                 1.8993,                 1.0991,             0.00013711,             0.00013711,             0.00013711
                     85,                0.79729,                0.80462,                0.89578,                0.88605,                0.60408,                0.68927,                 0.4734,                 1.4821,                 1.9047,                 1.1014,              0.0001295,              0.0001295,              0.0001295
